label	premise	hypothesis	prompt1si	prompt1en	prompt2si	prompt2en	few3_1	expl_preds	expl
contradiction	Vabijo začetnike in tudi druge, ki želijo obnoviti znanje nemškega jezika.	Tečaj je namenjen izključno tistim, ki se z nemščino srečujejo prvič.	contradiction	contradiction	neutral	neutral	entailment	contradiction	"Izjava ""Tečaj je namenjen izključno tistim, ki se z nemščino srečujejo prvič."" je v nasprotju z izjavo v stavku, saj ta pravi, da je tečaj namenjen tudi drugim, ki želijo obnoviti znanje nemškega jezika."
entailment	Listi so po obliki ovalni, z rahlo nazobčanimi robovi.	Listi so imeli robove našpičene, oblika celega lista pa je bila vseeno elipsasta.	neutral	contradiction	neutral	neutral	contradiction	contradiction	Izjava vsebuje informacijo, da so listi imeli robove našpičene, medtem ko izvirna izjava pravi, da so listi po obliki ovalni. Te informacije se ne ujemajo, zato je izjava v nasprotju z izvirno izjavo.
neutral	Sidra za objemke, španarje za vinograde, tudi sadjarska sidra dobite pri Kovinarstvu Metličar, Potrčeva 26, Tel. 771-286.	Pri Kovinarstvu Metličar lahko naročite izdelavo sadjarskih sider in sider za objemke po naročilu, in to po najbolj ugodnih cenah.	entailment	entailment	entailment	neutral	entailment	entailment	Izjava vprašanja navaja, da je pri Kovinarstvu Metličar mogoče naročiti izdelavo sadjarskih sider in sider za objemke po naročilu, medtem ko izjava v stavku navaja, da pri Kovinarstvu Metličar dobite tudi sadjarska sidra. Izjava v stavku podpira izjavo vprašanja, zato je izjava vprašanja potrjena.
contradiction	Okrog vitkega pasu ji je ležal težek usnjen pas z veliko srebrno zaponko.	Opasana je bila s peresno lahkim pasom iz blaga.	contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	"Iz podanega stavka je razvidno, da je oseba opasana z usnjenim pasom, zato je trditev ""Opasana je bila s peresno lahkim pasom iz blaga."" v nasprotju s tem."
contradiction	Pravico do porodniškega dopusta ima mati otroka, pod določenimi pogoji tudi oče otroka ali druga oseba ali eden od starih staršev, ki otroka neguje.	Stari starši v nobenem primeru nimajo pravice do uveljavljanja porodniškega dopusta, saj ne spadajo med sorodnike v prvem kolenu.	contradiction	contradiction	neutral	neutral	entailment	contradiction	Izjava trdi, da stari starši v nobenem primeru nimajo pravice do uveljavljanja porodniškega dopusta, saj ne spadajo med sorodnike v prvem kolenu. Vendar pa izvirna izjava navaja, da eden od starih staršev, ki otroka neguje, lahko uveljavlja pravico do porodniškega dopusta. Torej, izjava je v nasprotju z izvirno izjavo.
entailment	Na zahodni strani jezera je visok gozdnat in zakrasel Žejski hrib.	Nad jezerom se vzpenja zaraščena vzpetina, znana pod imenom Žejski hrib.	entailment	entailment	entailment	entailment	entailment	entailment	"Izjava ""Nad jezerom se vzpenja zaraščena vzpetina, znana pod imenom Žejski hrib."" se ujema z izjavo ""Na zahodni strani jezera je visok gozdnat in zakrasel Žejski hrib."", saj obe izjavi opisujeta isti hrib, ki se nahaja nad jezerom."
contradiction	Policisti so v schengenskem informacijskem sistemu preverili vozilo in ugotovili, da je bilo ukradeno v Italiji.	Kljub temeljitemu preverjanju vozila v schengenskem informacijskem sistemu policisti niso odkrili o njem ničesar novega.	neutral	entailment	entailment	entailment	entailment	neutral	"Izjava ""Kljub temeljitemu preverjanju vozila v schengenskem informacijskem sistemu policisti niso odkrili o njem ničesar novega."" ne nasprotuje izjavi v prvem stavku, saj prva izjava govori o preverjanju vozila, medtem ko druga izjava govori o tem, da policisti niso odkrili ničesar novega o vozilu."
contradiction	Za nadeve lahko uporabimo vse vrste sadja, naribana jabolka, hruške, ananas.	Ta sladica bo uspela le, če bomo za nadev uporabili jabolka.	entailment	entailment	entailment	entailment	entailment	entailment	Iz podanega stavka je razvidno, da je za uspeh sladice potrebno uporabiti jabolka za nadev, kar se ujema s podanimi možnostmi za nadev v prvem stavku.
entailment	To pa so seveda noge, roke, ušesa, nos in brada.	Vsekakor lahko vidimo po dvoje parov udov, uhlje, nos in brado.	neutral	contradiction	contradiction	contradiction	entailment	contradiction	"Izjava ""Vsekakor lahko vidimo po dvoje parov udov, uhlje, nos in brado."" je v nasprotju s prvotno izjavo, saj prva izjava navaja, da so noge, roke, ušesa, nos in brada prisotni, medtem ko druga izjava navaja, da so prisotni dvojni pari udov, uhlji, nos in brada."
entailment	Ob izbruhu prve svetovne vojne je bil poklican v vojsko.	Ob pričetku prve svetovne vojne, leta 1914, je bil mobiliziran v avstrijsko vojsko.	entailment	entailment	entailment	entailment	entailment	contradiction	"Izjava ""Ob pričetku prve svetovne vojne, leta 1914, je bil mobiliziran v avstrijsko vojsko."" je v nasprotju s stavkom ""Ob izbruhu prve svetovne vojne je bil poklican v vojsko."", saj prvi trditev govori o mobilizaciji v avstrijsko vojsko, medtem ko druga trditev samo omenja, da je bil poklican v vojsko, ne da bi navedla, katero vojsko."
entailment	Organizacije morajo zagotoviti notranjo kontrolo nad opravljanjem njihovih nalog po tem zakonu.	V zakoniku piše o zagotovitvi notranje organizacije in opravljanju njihovih dolžnosti.	neutral	entailment	entailment	neutral	entailment	contradiction	Izjava je v nasprotju s stavkom, saj se v zakoniku ne omenja zagotavljanje notranje organizacije, ampak notranje kontrole.
contradiction	Noče me razumeti,' si je obupano rekla.	Navdušeno je pomislila, da se niti ne trudi vživeti vanjo.	neutral	entailment	neutral	neutral	contradiction	neutral	"Izjava ""Navdušeno je pomislila, da se niti ne trudi vživeti vanjo."" ne nasprotuje izjavi ""Noče me razumeti,' si je obupano rekla."", saj se nanaša na drugo osebo in ne na govorca."
entailment	»Je tu kak javni telefon, ki bi ga lahko uporabil?«	Mogoče veste, če je v bližini telefonska govorilnica?	neutral	neutral	neutral	neutral	neutral	neutral	"Izjava ""Mogoče veste, če je v bližini telefonska govorilnica?"" je nevtralna, saj ne nasprotuje ali ne podpira izjave ""»Je tu kak javni telefon, ki bi ga lahko uporabil?«""."
neutral	»Sinoči pa ste vedeli, da ga nekdo umoril.«	“Zaspali ste z informacijo o tem, da mu je nekdo zadal smrtni udarec.“	entailment	entailment	entailment	neutral	entailment	contradiction	"Izjava ""Zaspali ste z informacijo o tem, da mu je nekdo zadal smrtni udarec."" je v nasprotju z izjavo ""»Sinoči pa ste vedeli, da ga nekdo umoril.«"", saj prva izjava implicira, da oseba ni vedela, da je bil umorjen, medtem ko druga izjava pravi, da je oseba vedela za umor."
neutral	Vstala je in stopila k oknu, s katerega se je videlo na dvorišče.	Pogledala je skozi okno, da bi videla, kaj je na dvorišču.	entailment	entailment	entailment	entailment	entailment	neutral	Iz podanega stavka ni mogoče sklepati, ali je pogledala skozi okno ali ne, zato je izjava nevtralna.
entailment	Če je ne bi poznali, sploh ne bi mogli vedeti za resnico.	Šele zdaj, ko jo poznate, vam je lahko jasna resnica.	entailment	entailment	entailment	entailment	entailment	contradiction	"Izjava ""Šele zdaj, ko jo poznate, vam je lahko jasna resnica."" je v nasprotju z izjavo ""Če je ne bi poznali, sploh ne bi mogli vedeti za resnico."", saj prva izjava trdi, da je resnica jasna šele zdaj, ko jo poznamo, medtem ko druga izjava trdi, da je ne bi mogli vedeti za resnico, če je ne bi poznali."
contradiction	To častitljivo obletnico so počastili s številnimi prireditvami in z izdajo obsežnega zbornika.	Praznovali so stoletnico in ob tem pripravili dva koncerta ter izdali kratko brošuro.	entailment	neutral	contradiction	neutral	neutral	contradiction	Izjava je v nasprotju s podanim stavkom, saj omenja stoletnico, medtem ko je v podanem stavku omenjena obletnica.
contradiction	V svetu po hladni vojni je globalna politika prvič v zgodovini postala mnogopolarna in mnogocivilizacijska.	V obdobju med resno politično napetostjo med ZDA in Sovjetsko zvezo je bila globalna politika enopolarna ter mnogocivilizcijska.	contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	Izjava vprašanja trdi, da je globalna politika v obdobju med resno politično napetostjo med ZDA in Sovjetsko zvezo bila enopolarna, medtem ko izvirna izjava trdi, da je globalna politika po hladni vojni postala mnogopolarna. Izjava vprašanja torej nasprotuje izvirni izjavi.
entailment	Klik deluje 24 ur na dan, vse dni v letu.	Uporaba aplikacije je mogoča 365 dni na leto.	entailment	entailment	entailment	entailment	entailment	entailment	"Izjava ""Uporaba aplikacije je mogoča 365 dni na leto."" je v skladu z izjavo ""Klik deluje 24 ur na dan, vse dni v letu."", saj obe izjavi govorita o neprekinjeni uporabi aplikacije skozi celo leto."
entailment	Ta je seveda od začetka do konca komična in zabavna, pri tem pa v svoji trdi in daljnosežni »aktualnosti« tudi kar precej huda in grozljiva.	Od starta do finiša se precej smejemo in zabavamo, ima pa tudi malce grozljiv priokus, saj njeno dogajanje zlahka prenesemo v današnji čas.	entailment	entailment	entailment	entailment	entailment	entailment	Izjava vsebuje podobne izraze in poudarja podobne lastnosti kot izvirna izjava, zato je v skladu z njo.
entailment	Dodatne informacije o izletih lahko dobite v pisarni DOPPS, tel. (01) 426 58 75.	Za več podatkov o potovanjih pokličite pisarno Društva za opazovanje in proučevanje ptic Slovenije na tel. št. (01) 426 58 75.	neutral	entailment	entailment	entailment	entailment	neutral	Izjava je enaka kot v izvirnem stavku, zato je nevtralna.
entailment	V NLB lahko pošiljate in prejemate čezmejna in domača kreditna plačila SEPA.	Nova Ljubljanska banka omogoča, da plačujemo in sprejmemo SEPA-plačila tako iz Slovenije kot tudi tujine.	entailment	entailment	entailment	entailment	entailment	entailment	Izjava je v skladu s podanim stavkom, saj se nanaša na isto temo in potrjuje, da Nova Ljubljanska banka omogoča pošiljanje in prejemanje SEPA-plačil tako iz Slovenije kot tudi tujine.
entailment	»Vam lahko pomagam čez?« je olikano rekel.	Spoštljivo je ponudil svojo pomoč pri prehodu.	entailment	entailment	entailment	entailment	entailment	entailment	"Izjava ""Spoštljivo je ponudil svojo pomoč pri prehodu."" je v skladu z izjavo ""»Vam lahko pomagam čez?« je olikano rekel."", saj obe izjavi govorita o ponudbi pomoči pri prehodu."
contradiction	Mislim, da iz vsega tega ne bo prav nič.	Vse kaže, da nas čakajo zelo ugodni rezultati.	neutral	neutral	contradiction	neutral	neutral	neutral	Izražena trditev ne nasprotuje niti ne podpira izjave v prvotnem stavku, saj se nanaša na drugačno temo.
entailment	(1) Borzno posredniška družba ne sme opravljati nobenih drugih dejavnosti, razen storitev v zvezi z vrednostnimi papirji.	(1) Edina dejavnost, ki jo borzno posredniška družba sme opravljati, so storitve, ki se navezujejo na vrednostne papirje.	entailment	entailment	entailment	entailment	entailment	neutral	"Izjava ""(1) Edina dejavnost, ki jo borzno posredniška družba sme opravljati, so storitve, ki se navezujejo na vrednostne papirje."" je enaka izjavi ""(1) Borzno posredniška družba ne sme opravljati nobenih drugih dejavnosti, razen storitev v zvezi z vrednostnimi papirji."", zato je izjava nevtralna."
entailment	Odpre se novo okno, kamor vnesete ime novega makra.	V okence, ki je na voljo, vtipkate poimenovanje za novi makro.	neutral	entailment	entailment	entailment	entailment	neutral	"Izjava ""V okence, ki je na voljo, vtipkate poimenovanje za novi makro."" je enakovredna izjavi ""Vnesete ime novega makra v okno, ki je na voljo."" in se ujema z izjavo v izvirnem stavku."
contradiction	»Kdo ti je omogočil vse, kar imaš?«	“Kdo je kriv za to, da si vse izgubila?“	entailment	neutral	neutral	neutral	neutral	neutral	"Izjava ""Kdo je kriv za to, da si vse izgubila?"" ne nasprotuje izjavi ""»Kdo ti je omogočil vse, kar imaš?«"", saj se ne nanaša na isto vprašanje."
entailment	Plavica je pokončna trajnica s temno modrimi cvetnimi koški, ki se razcvetajo od pozne pomladi v sredino poletja in privabljajo metulje in čebele.	Plavica je trajno rastoča cvetica, ki s cveti v temno modri barvi in obliki posodic vabi opraševalne žuželke v obdobju od junija do začetka avgusta.	entailment	entailment	entailment	neutral	entailment	entailment	Izjava je v skladu s podanim stavkom, saj opisuje isto rastlino, ki cveti v istem obdobju in privablja iste vrste žuželk.
entailment	Ne zdite se mi človek, ki bi kuhal zamero do nedolžnega človeka.	Mislim, da niste tak tip človeka, da bi bil kar tako zamerljiv.	neutral	entailment	entailment	entailment	entailment	neutral	"Izjava ""Mislim, da niste tak tip človeka, da bi bil kar tako zamerljiv."" ne nasprotuje izjavi ""Ne zdite se mi človek, ki bi kuhal zamero do nedolžnega človeka."", saj se prva izjava nanaša na splošno zamerljivost osebe, medtem ko se druga izjava nanaša na kuhanje zamere do nedolžnega človeka."
entailment	Za volitve poslancev italijanske oziroma madžarske narodne skupnosti se na območjih, kjer ti skupnosti živita, oblikujeta posebni volilni enoti.	Za območja občin, kjer živi italijanska oziroma madžarska narodna skupnost, se določita dve posebni volilni enoti, v katerih se voli po en poslanec italijanske oziroma madžarske narodne skupnosti.	entailment	entailment	entailment	entailment	entailment	entailment	Izjava je v skladu s podanim stavkom, saj se v stavku omenja oblikovanje dveh posebnih volilnih enot, kar je enako določitvi dveh posebnih volilnih enot.
entailment	»Ste prepričani, da je vse v škatli?«	“Je notri vse, kar mora biti?“	neutral	entailment	neutral	neutral	neutral	neutral	"Izjava ""Je notri vse, kar mora biti?"" je vprašanje, ki se nanaša na vsebino škatle, zato je vprašanje nevtralno glede na izjavo ""»Ste prepričani, da je vse v škatli?«""."
neutral	To, na kar ga je opozorila, se mu je zapičilo v možgane.	Kar je izpostavila, mu je še dolgo ostajalo v spominu.	entailment	entailment	entailment	entailment	entailment	entailment	"Izjava ""Kar je izpostavila, mu je še dolgo ostajalo v spominu."" je v skladu s prvotno izjavo, saj obe izjavi govorita o tem, da se nekaj vtisne v spomin osebe."
entailment	Z odporom je gledal zviti tvidasti suknjič v Langdonovih rokah.	Langdon je v rokah držal zmečkan suknjič iz tvida, kar pa je bilo njemu težko gledati.	entailment	entailment	entailment	entailment	entailment	contradiction	Iz podanega stavka je razvidno, da je Langdon v rokah držal zviti suknjič iz tvida, kar je v nasprotju s trditvijo, da je imel zmečkan suknjič iz tvida.
neutral	Dizelski motor dopolnjuje 6-stopenjski ročni menjalnik, tako da skupaj nudita neprimerljivo mešanico moči, poskočnosti in natančnega nadzora.	Motor z nizko porabo dizelskega goriva je primeren za vse tiste, ki prevozite daljše razdalje, na katerih boste za razgibano vožnjo lahko poskrbeli s 6-stopenjskim menjalnikom.	entailment	entailment	entailment	entailment	entailment	entailment	Izjava je v skladu z izvirnim stavkom, saj omenja motor z nizko porabo dizelskega goriva, ki je primeren za daljše razdalje, in tudi omenja 6-stopenjski menjalnik, ki je omenjen v izvirnem stavku.
neutral	Možev finančni položaj se ne bo spremenil, vas pa prihodnje leto poleti čaka malo večji znesek, ki bo prišel po uradni poti.	Naslednje leto se bo vaš finančni položaj malce spremenil, finance vašega moža pa bodo ostajale enake kot letos.	contradiction	contradiction	entailment	neutral	contradiction	contradiction	Iz podanega stavka je razvidno, da se bo finančni položaj osebe spremenil, medtem ko finančni položaj njenega moža ostaja enak.
contradiction	Pisni izpit ocenijo zunanji ocenjevalci po merilih, ki jih pripravi DPK SM za matematiko.	Vsak učenec je svoje pisno preverjanje znanja ocenil sam s pomočjo sošolcev, pri ocenjevanju so postavili kar svoje lasnte kriterije.	neutral	contradiction	contradiction	neutral	contradiction	contradiction	Izjava je v nasprotju s podanim stavkom, saj pravi, da so učenci sami ocenili svoje pisno preverjanje znanja, medtem ko je v podanem stavku navedeno, da pisni izpit ocenijo zunanji ocenjevalci.
neutral	Opazna so široka območja svetlejše snovi, tudi prah in skale, ki napolnjujejo kraterje.	Ognjenik bruha tudi pepel in razbeljeno kamenje, ki prekrijeta tla.	entailment	neutral	entailment	neutral	entailment	contradiction	"Izjava ""Ognjenik bruha tudi pepel in razbeljeno kamenje, ki prekrijeta tla."" se ne ujema z izjavo ""Opazna so široka območja svetlejše snovi, tudi prah in skale, ki napolnjujejo kraterje."", saj prva izjava govori o pepelu in razbeljenem kamenju, medtem ko druga izjava govori o svetlejši snovi, prahu in skalah."
neutral	Oblival ga je hladen pot, vendar je naposled uspel.	Potil se je in roke so se mu tresle, a uspešno je dokončal.	entailment	entailment	entailment	entailment	entailment	contradiction	"Izjava ""Potil se je in roke so se mu tresle, a uspešno je dokončal."" je v nasprotju s prvotno izjavo, saj prva izjava navaja, da je oseba uspela, medtem ko druga izjava navaja, da se je oseba potila in tresle so se ji roke."
entailment	Nagrajence bomo o rezultatih nagradne igre obvestili pisno po pošti.	Dobitnikom nagrad bomo v vednost po pošti poslali rezultate igre z nagradami.	entailment	entailment	entailment	entailment	entailment	contradiction	"Izjava ""Dobitnikom nagrad bomo v vednost po pošti poslali rezultate igre z nagradami."" je v nasprotju s prvotno izjavo, saj prva izjava pravi, da bodo rezultate nagradne igre obvestili pisno po pošti, medtem ko druga izjava pravi, da bodo rezultate igre z nagradami poslali po pošti dobitnikom nagrad."
entailment	Sidra za objemke, španarje za vinograde, tudi sadjarska sidra dobite pri Kovinarstvu Metličar, Potrčeva 26, Tel. 771-286.	Če potrebujete sadjarska sidra, sidra za objemke ali španarje za vinograde, je podjetje Kovinarstvo Metličar pravo za vas!	entailment	entailment	entailment	entailment	entailment	entailment	Izjava v prvem stavku potrjuje izjavo v drugem stavku, saj omenja isto podjetje in iste izdelke.
entailment	Možnost, da bi zdravniki umaknili preklice soglasij za delo preko polnega delovnega časa, po besedah Kuštrina sicer obstaja.	Kuštrin pa je ponovil, da bodo zdravnikom predlagali, naj prekličejo soglasja za delo preko polnega delovnega časa.	entailment	entailment	entailment	entailment	entailment	neutral	Iz podanega stavka je razvidno, da Kuštrin omenja možnost umika soglasij za delo preko polnega delovnega časa, vendar pa ni jasno ali je to predlog zdravnikom ali samo obstaja možnost.
contradiction	»Nikakor ne, milostljiva,« se je strinjala gospa Harben.	Gospa Harben se ji je končno uprla in rekla: “Ne, tokrat nimate prav!“	contradiction	contradiction	neutral	neutral	entailment	contradiction	"Izjava ""Gospa Harben se ji je končno uprla in rekla: “Ne, tokrat nimate prav!“"" je v nasprotju s stavkom ""»Nikakor ne, milostljiva,« se je strinjala gospa Harben."""
contradiction	Če se zaprosilo za zaplembo nanaša na določen del premoženja, se lahko pogodbenici dogovorita, da zaprošena pogodbenica izvrši zaplembo v obliki zahteve za plačilo denarnega zneska, ki ustreza vrednosti premoženja.	Zaprosilo za zaplembo, ki je vezana na specifičen del premoženja, se ne more udejanjiti na noben način, ki bi rezultiral v izplačilu v denarnih sredstvih.	contradiction	contradiction	neutral	neutral	entailment	contradiction	Izjava trdi, da zaprosilo za zaplembo specifičnega dela premoženja ne more biti izvedeno na način, ki bi rezultiral v izplačilu v denarnih sredstvih. Glede na to, da je v izvirni povedi navedeno, da se lahko pogodbenici dogovorita, da se zaplembo izvrši v obliki zahteve za plačilo denarnega zneska, je izjava v nasprotju s tem in jo zanika.
entailment	Po filmu bo sledil pogovor z gosti s Slovenske filantropije in Ivo Grobin , soavtorico filma.	Ena od avtorjev Iva Grobin in člani Slovenske filantropije bodo po ogledu filma na voljo za pogovor.	entailment	entailment	entailment	entailment	entailment	entailment	Iz podanega stavka je razvidno, da bodo člani Slovenske filantropije in Iva Grobin na voljo za pogovor po ogledu filma, kar se ujema s trditvijo.
contradiction	Na sodbo se je pritožila odvetnica, ki je bila prepričana, da bi moral biti njen varovanec oproščen.	Odvetnica je bila zadovoljna, ko je bil pravilno spoznan za krivega, kljub temu, da je bil njen varovanec.	contradiction	contradiction	contradiction	neutral	contradiction	contradiction	Izjava vprašanja trdi, da je odvetnica bila zadovoljna, ko je bil njen varovanec spoznan za krivega, medtem ko je bila v izvirni povedi odvetnica prepričana, da bi moral biti njen varovanec oproščen. To pomeni, da je izjava vprašanja v nasprotju z izvirno povedjo.
neutral	Oh, ko vsaj ne bi bil tako luštkan, sem zastokala v mislih.	Požirala sem ga z očmi in potihem stokala, le stežka sem se mu upirala.	entailment	neutral	entailment	neutral	entailment	contradiction	"Izjava ""Požirala sem ga z očmi in potihem stokala, le stežka sem se mu upirala."" je v nasprotju z izjavo ""Oh, ko vsaj ne bi bil tako luštkan, sem zastokala v mislih."", saj prva izjava izraža privlačnost do osebe, medtem ko druga izjava izraža nezadovoljstvo z njenim videzom."
contradiction	Obšla jo je groza, da se bo zadušila, če bo jokala.	Bila je neizmerno vesela, saj je niso pestile nobene skrbi.	neutral	neutral	contradiction	contradiction	contradiction	neutral	Iz podanega stavka ni mogoče sklepati, ali je bila oseba vesela ali ne, saj se nanaša na drugo osebo in ne na osebo, ki jo opisuje prvi stavek.
contradiction	Ko se je Trissa otresla jeze, je stopila k njej in jo potrepljala po ramenih.	Ko ni bila več jezna, je pristopila do nje in ji prijateljsko segla v roko.	entailment	entailment	entailment	entailment	entailment	neutral	Iz podanega stavka ni mogoče sklepati, ali je Trissa več jezna ali ne, zato je izjava nevtralna.
neutral	Če je mešanica pregosta, dodamo toliko vode, da dosežemo želeno trdnost.	Če jed želimo zmehčati in razredčiti, je naboljši način, da ji vmešamo vodo.	entailment	neutral	entailment	neutral	entailment	contradiction	Izjava vprašuje, kako zmehčati in razredčiti jed, medtem ko izvirna izjava govori o dodajanju vode, da dosežemo želeno trdnost mešanice. Izjava vprašuje o drugačnem načinu razredčitve jedi, zato je v nasprotju z izvirno izjavo.
contradiction	V drugem odstavku 1. člena pa je splošna prepoved diskriminacije dopolnjena z določbo, da nobena javna oblast ne bo proti nikomur izvajal diskriminacije iz katerega koli razloga iz prvega odstavka.	V zakoniku je splošna prepoved diskriminacije nenatančno navedena, saj ne podaja razlogov, zaradi katerih javna oblast ne sme izvajati splošne javne diskriminacije.	contradiction	contradiction	neutral	neutral	contradiction	contradiction	Izjava je v nasprotju s podanim stavkom, saj zakonik v drugem odstavku 1. člena določa, da nobena javna oblast ne sme izvajati diskriminacije iz katerega koli razloga.
contradiction	Lahko se dogovorimo, kaj bomo gledali, in se potem o tem tudi pogovorimo.	Bolje je, če se en sam odloči za vse nas, kaj bomo gledali, potem pa se lahko o tem pogovorimo.	entailment	neutral	neutral	neutral	contradiction	contradiction	"Izjava ""Bolje je, če se en sam odloči za vse nas, kaj bomo gledali, potem pa se lahko o tem pogovorimo."" se ne ujema z izjavo ""Lahko se dogovorimo, kaj bomo gledali, in se potem o tem tudi pogovorimo."", saj prva izjava predlaga, da se ena oseba odloči za vse, medtem ko druga izjava predlaga, da se vsi skupaj dogovorimo in se nato pogovorimo."
contradiction	A to pot se je končalo s popolno katastrofo Francozov.	Francozi tokrat ne bi mogli biti bolj zadovoljni z izidom.	contradiction	contradiction	contradiction	neutral	contradiction	contradiction	"Izjava ""Francozi tokrat ne bi mogli biti bolj zadovoljni z izidom."" je v nasprotju s stavkom ""A to pot se je končalo s popolno katastrofo Francozov."", saj prvi trdi, da so Francozi zelo zadovoljni z izidom, medtem ko drugi trdi, da se je končalo s katastrofo."
entailment	Požarna varnost je varnost ljudi, živali in premoženja ob požaru.	Požarna varnost vključuje neogroženost živali, ljudi in njihovega premoženja.	entailment	entailment	entailment	entailment	entailment	neutral	"Izjava ""Požarna varnost vključuje neogroženost živali, ljudi in njihovega premoženja."" je enakovredna izjavi ""Požarna varnost je varnost ljudi, živali in premoženja ob požaru."", zato je izjava nevtralna."
